j0; j1; j2; cos(j0); cos(j1); cos(j2); sin(j0); sin(j1); sin(j2); ee_x; ee_y; ee_qw; ee_qz
 1.939; -1.618;  0.429; -0.360; -0.047;  0.909;  0.933; -0.999;  0.416;  0.139;  0.200;  0.930;  0.366
 2.167; -1.716;  0.351; -0.562; -0.145;  0.939;  0.827; -0.989;  0.344;  0.110;  0.205;  0.921;  0.391
 2.437; -1.809;  0.278; -0.762; -0.236;  0.962;  0.648; -0.972;  0.274;  0.073;  0.210;  0.899;  0.438
 2.716; -1.830;  0.235; -0.911; -0.256;  0.973;  0.413; -0.967;  0.233;  0.020;  0.218;  0.847;  0.531
 3.010; -1.822;  0.250; -0.991; -0.248;  0.969;  0.131; -0.969;  0.247; -0.047;  0.215;  0.753;  0.658
 3.237; -1.783;  0.288; -0.995; -0.211;  0.959; -0.096; -0.977;  0.284; -0.109;  0.197;  0.640;  0.769
 3.237; -1.678;  0.296; -0.995; -0.107;  0.956; -0.095; -0.994;  0.292; -0.130;  0.196;  0.599;  0.801
 3.196; -1.512;  0.311; -0.998;  0.059;  0.952; -0.055; -0.998;  0.306; -0.157;  0.194;  0.542;  0.840
 3.154; -1.334;  0.398; -1.000;  0.234;  0.922; -0.013; -0.972;  0.388; -0.191;  0.183;  0.445;  0.895
 3.110; -1.175;  0.510; -0.999;  0.385;  0.873;  0.032; -0.923;  0.488; -0.220;  0.167;  0.342;  0.940
 3.075; -0.990;  0.600; -0.998;  0.549;  0.825;  0.067; -0.836;  0.565; -0.248;  0.142;  0.226;  0.974
 3.055; -0.745;  0.698; -0.996;  0.735;  0.766;  0.087; -0.678;  0.642; -0.276;  0.097;  0.067;  0.998
 3.075; -0.484;  0.828; -0.998;  0.885;  0.676;  0.067; -0.465;  0.737; -0.291;  0.029; -0.138;  0.990
 3.140; -0.207;  0.937; -1.000;  0.979;  0.592;  0.002; -0.205;  0.806; -0.280; -0.052; -0.356;  0.934
 3.169;  0.099;  1.007; -1.000;  0.995;  0.535; -0.027;  0.099;  0.845; -0.246; -0.115; -0.537;  0.843
 3.158;  0.418;  1.107; -1.000;  0.914;  0.447; -0.017;  0.406;  0.894; -0.194; -0.154; -0.697;  0.717
 3.148;  0.746;  1.249; -1.000;  0.734;  0.317; -0.006;  0.679;  0.949; -0.127; -0.169; -0.842;  0.540
 3.114;  1.076;  1.367; -1.000;  0.475;  0.202;  0.028;  0.880;  0.979; -0.068; -0.157; -0.935;  0.355
 3.054;  1.436;  1.453; -0.996;  0.134;  0.118;  0.087;  0.991;  0.993; -0.018; -0.125; -0.986;  0.169
 2.973;  1.821;  1.499; -0.986; -0.248;  0.072;  0.168;  0.969;  0.997;  0.020; -0.082; -1.000; -0.005
 2.904;  1.931;  1.523; -0.972; -0.352;  0.048;  0.236;  0.936;  0.999;  0.025; -0.067; -0.999; -0.041
 2.893;  1.894;  1.560; -0.969; -0.318;  0.010;  0.246;  0.948;  1.000;  0.020; -0.068; -0.999; -0.033
 2.888;  1.815;  1.589; -0.968; -0.242; -0.019;  0.251;  0.970;  1.000;  0.012; -0.074; -1.000; -0.005
 2.899;  1.723;  1.645; -0.971; -0.151; -0.074;  0.240;  0.989;  0.997;  0.004; -0.077; -1.000;  0.008
 2.972;  1.680;  1.739; -0.986; -0.109; -0.167;  0.169;  0.994;  0.986;  0.005; -0.071; -0.999; -0.054
 3.063;  1.669;  1.816; -0.997; -0.098; -0.243;  0.079;  0.995;  0.970;  0.009; -0.064; -0.992; -0.127
 3.160;  1.644;  1.825; -1.000; -0.073; -0.251; -0.019;  0.997;  0.968;  0.013; -0.064; -0.985; -0.172
 3.190;  1.633;  1.817; -0.999; -0.062; -0.244; -0.048;  0.998;  0.970;  0.014; -0.066; -0.984; -0.179
 3.156;  1.683;  1.782; -1.000; -0.112; -0.210; -0.015;  0.994;  0.978;  0.016; -0.064; -0.986; -0.168
 3.129;  1.778;  1.736; -1.000; -0.206; -0.165;  0.012;  0.979;  0.986;  0.022; -0.058; -0.984; -0.179
 3.144;  1.826;  1.681; -1.000; -0.252; -0.110; -0.002;  0.968;  0.994;  0.028; -0.057; -0.984; -0.181
 3.148;  1.821;  1.593; -1.000; -0.248; -0.023; -0.007;  0.969;  1.000;  0.031; -0.067; -0.990; -0.140
 3.134;  1.813;  1.501; -1.000; -0.239;  0.070;  0.008;  0.971;  0.998;  0.032; -0.079; -0.997; -0.082
 3.095;  1.807;  1.423; -0.999; -0.234;  0.148;  0.046;  0.972;  0.989;  0.029; -0.089; -1.000; -0.021
 3.084;  1.792;  1.324; -0.998; -0.220;  0.244;  0.058;  0.976;  0.970;  0.026; -0.102; -0.999;  0.042
 3.098;  1.804;  1.231; -0.999; -0.231;  0.333;  0.043;  0.973;  0.943;  0.028; -0.110; -0.997;  0.075
 3.092;  1.816;  1.180; -0.999; -0.243;  0.381;  0.050;  0.970;  0.925;  0.028; -0.114; -0.995;  0.097
 3.061;  1.812;  1.164; -0.997; -0.239;  0.396;  0.080;  0.971;  0.918;  0.023; -0.117; -0.992;  0.123
 2.982;  1.778;  1.182; -0.987; -0.206;  0.379;  0.159;  0.979;  0.926;  0.010; -0.121; -0.986;  0.170
 2.874;  1.721;  1.219; -0.964; -0.149;  0.345;  0.264;  0.989;  0.939; -0.010; -0.123; -0.973;  0.233
 2.793;  1.660;  1.232; -0.940; -0.089;  0.332;  0.341;  0.996;  0.943; -0.029; -0.124; -0.956;  0.295
 2.760;  1.620;  1.211; -0.928; -0.049;  0.352;  0.372;  0.999;  0.936; -0.041; -0.127; -0.941;  0.339
 2.753;  1.639;  1.197; -0.925; -0.068;  0.365;  0.379;  0.998;  0.931; -0.040; -0.127; -0.940;  0.340
 2.775;  1.648;  1.167; -0.933; -0.077;  0.393;  0.359;  0.997;  0.920; -0.037; -0.130; -0.941;  0.340
 2.817;  1.643;  1.121; -0.948; -0.072;  0.435;  0.319;  0.997;  0.901; -0.036; -0.136; -0.939;  0.344
 2.876;  1.697;  1.091; -0.965; -0.126;  0.462;  0.263;  0.992;  0.887; -0.021; -0.137; -0.952;  0.305
 2.989;  1.789;  1.043; -0.988; -0.216;  0.503;  0.152;  0.976;  0.864;  0.006; -0.134; -0.973;  0.229
 3.092;  1.832;  0.939; -0.999; -0.258;  0.591;  0.049;  0.966;  0.807;  0.022; -0.137; -0.978;  0.207
 3.156;  1.814;  0.805; -1.000; -0.241;  0.693; -0.015;  0.971;  0.721;  0.020; -0.152; -0.966;  0.257
 3.163;  1.769;  0.652; -1.000; -0.197;  0.795; -0.022;  0.980;  0.607;  0.006; -0.171; -0.940;  0.342
 3.156;  1.696;  0.518; -1.000; -0.125;  0.869; -0.014;  0.992;  0.495; -0.019; -0.188; -0.898;  0.441
 3.150;  1.593;  0.459; -1.000; -0.022;  0.896; -0.008;  1.000;  0.443; -0.045; -0.198; -0.857;  0.515
 3.146;  1.451;  0.464; -1.000;  0.119;  0.894; -0.004;  0.993;  0.448; -0.074; -0.203; -0.819;  0.574
 3.143;  1.244;  0.496; -1.000;  0.321;  0.879; -0.001;  0.947;  0.476; -0.113; -0.203; -0.765;  0.644
 3.137;  1.044;  0.525; -1.000;  0.502;  0.865;  0.005;  0.865;  0.501; -0.151; -0.196; -0.705;  0.709
 3.096;  0.905;  0.511; -0.999;  0.618;  0.872;  0.046;  0.786;  0.489; -0.187; -0.179; -0.632;  0.775
 3.019;  0.775;  0.452; -0.992;  0.714;  0.900;  0.123;  0.700;  0.437; -0.228; -0.147; -0.524;  0.851
 2.954;  0.629;  0.393; -0.983;  0.809;  0.924;  0.186;  0.588;  0.383; -0.262; -0.106; -0.405;  0.914
 2.870;  0.515;  0.312; -0.963;  0.870;  0.952;  0.268;  0.493;  0.307; -0.287; -0.055; -0.274;  0.962
 2.745;  0.437;  0.174; -0.922;  0.906;  0.985;  0.386;  0.423;  0.173; -0.300;  0.011; -0.107;  0.994
 2.658;  0.390;  0.017; -0.885;  0.925;  1.000;  0.465;  0.381;  0.017; -0.298;  0.064;  0.038;  0.999
 2.619;  0.401; -0.141; -0.867;  0.921;  0.990;  0.499;  0.390; -0.141; -0.292;  0.091;  0.131;  0.991
 2.558;  0.405; -0.279; -0.834;  0.919;  0.961;  0.551;  0.394; -0.276; -0.280;  0.122;  0.227;  0.974
 2.458;  0.400; -0.401; -0.775;  0.921;  0.921;  0.632;  0.389; -0.390; -0.259;  0.161;  0.336;  0.942
 2.350;  0.439; -0.516; -0.703;  0.905;  0.870;  0.711;  0.425; -0.493; -0.235;  0.190;  0.420;  0.907
 2.218;  0.481; -0.589; -0.603;  0.886;  0.831;  0.798;  0.463; -0.556; -0.207;  0.217;  0.493;  0.870
 2.044;  0.486; -0.671; -0.456;  0.884;  0.783;  0.890;  0.467; -0.621; -0.159;  0.252;  0.598;  0.802
 1.828;  0.510; -0.808; -0.255;  0.873;  0.691;  0.967;  0.488; -0.723; -0.090;  0.279;  0.721;  0.693
 1.550;  0.538; -0.979;  0.021;  0.859;  0.558;  1.000;  0.512; -0.830;  0.002;  0.285;  0.850;  0.526
 1.212;  0.507; -1.160;  0.352;  0.874;  0.400;  0.936;  0.486; -0.917;  0.114;  0.251;  0.961;  0.276
 0.858;  0.445; -1.352;  0.654;  0.903;  0.217;  0.756;  0.430; -0.976;  0.202;  0.167;  1.000; -0.025
 0.503;  0.341; -1.514;  0.876;  0.942;  0.057;  0.482;  0.334; -0.998;  0.240;  0.055;  0.944; -0.329
 0.180;  0.224; -1.621;  0.984;  0.975; -0.050;  0.179;  0.222; -0.999;  0.228; -0.046;  0.821; -0.571
-0.098;  0.147; -1.733;  0.995;  0.989; -0.162; -0.098;  0.146; -0.987;  0.187; -0.114;  0.666; -0.746
-0.386;  0.049; -1.845;  0.926;  0.999; -0.271; -0.377;  0.049; -0.963;  0.123; -0.161;  0.459; -0.888
-0.688; -0.118; -1.844;  0.772;  0.993; -0.270; -0.635; -0.118; -0.963;  0.049; -0.188;  0.243; -0.970
-1.013; -0.309; -1.790;  0.529;  0.953; -0.217; -0.848; -0.304; -0.976; -0.032; -0.185;  0.015; -1.000
-1.344; -0.499; -1.701;  0.225;  0.878; -0.130; -0.974; -0.478; -0.991; -0.106; -0.151; -0.200; -0.980
-1.631; -0.722; -1.640; -0.060;  0.750; -0.069; -0.998; -0.661; -0.998; -0.149; -0.088; -0.413; -0.911
-1.918; -1.007; -1.641; -0.340;  0.534; -0.070; -0.940; -0.845; -0.998; -0.148; -0.007; -0.654; -0.757
-2.218; -1.332; -1.679; -0.603;  0.236; -0.108; -0.798; -0.972; -0.994; -0.098;  0.056; -0.864; -0.503
-2.497; -1.630; -1.684; -0.799; -0.059; -0.113; -0.601; -0.998; -0.994; -0.037;  0.073; -0.972; -0.234
-2.786; -1.866; -1.636; -0.938; -0.291; -0.065; -0.348; -0.957; -0.998;  0.006;  0.068; -1.000; -0.016
-3.134; -1.888; -1.592; -1.000; -0.312; -0.021; -0.007; -0.950; -1.000;  0.035;  0.058; -0.986;  0.166
-3.300; -1.830; -1.576; -0.988; -0.257; -0.005;  0.157; -0.966; -1.000;  0.043;  0.062; -0.977;  0.214
-3.258; -1.732; -1.590; -0.993; -0.161; -0.019;  0.116; -0.987; -1.000;  0.033;  0.076; -0.989;  0.149
-3.202; -1.615; -1.641; -0.998; -0.044; -0.070;  0.061; -0.999; -0.998;  0.019;  0.086; -0.996;  0.087
-3.167; -1.513; -1.708; -1.000;  0.058; -0.137;  0.025; -0.998; -0.991;  0.006;  0.091; -0.999;  0.052
-3.121; -1.407; -1.763; -1.000;  0.163; -0.191; -0.020; -0.987; -0.982; -0.008;  0.095; -1.000;  0.004
-3.013; -1.240; -1.764; -0.992;  0.325; -0.192; -0.128; -0.946; -0.981; -0.037;  0.106; -0.991; -0.132
-2.864; -1.011; -1.767; -0.962;  0.531; -0.195; -0.274; -0.848; -0.981; -0.082;  0.105; -0.949; -0.315
-2.703; -0.727; -1.782; -0.906;  0.747; -0.210; -0.424; -0.665; -0.978; -0.134;  0.083; -0.860; -0.510
-2.549; -0.401; -1.768; -0.830;  0.921; -0.196; -0.558; -0.391; -0.981; -0.180;  0.035; -0.709; -0.705
-2.429; -0.091; -1.739; -0.757;  0.996; -0.167; -0.654; -0.091; -0.986; -0.205; -0.025; -0.530; -0.848
-2.371;  0.220; -1.676; -0.717;  0.976; -0.105; -0.697;  0.218; -0.994; -0.212; -0.084; -0.336; -0.942
-2.313;  0.529; -1.631; -0.676;  0.863; -0.060; -0.737;  0.505; -0.998; -0.195; -0.142; -0.136; -0.991
-2.252;  0.780; -1.587; -0.630;  0.711; -0.016; -0.777;  0.703; -1.000; -0.163; -0.186;  0.041; -0.999
-2.224;  0.986; -1.519; -0.608;  0.552;  0.052; -0.794;  0.834; -0.999; -0.130; -0.215;  0.191; -0.982
-2.178;  1.164; -1.488; -0.571;  0.395;  0.083; -0.821;  0.919; -0.997; -0.093; -0.233;  0.314; -0.949
-2.080;  1.344; -1.498; -0.487;  0.225;  0.073; -0.873;  0.974; -0.997; -0.042; -0.241;  0.439; -0.899
-1.953;  1.567; -1.501; -0.373;  0.003;  0.069; -0.928;  1.000; -0.998;  0.021; -0.235;  0.587; -0.810
-1.797;  1.826; -1.445; -0.225; -0.252;  0.125; -0.974;  0.968; -0.992;  0.094; -0.203;  0.759; -0.651
-1.599;  1.898; -1.351; -0.028; -0.322;  0.218; -1.000;  0.947; -0.976;  0.148; -0.165;  0.866; -0.500
-1.364;  1.869; -1.291;  0.205; -0.294;  0.276; -0.979;  0.956; -0.961;  0.186; -0.127;  0.924; -0.382
-1.092;  1.816; -1.255;  0.461; -0.243;  0.310; -0.887;  0.970; -0.951;  0.216; -0.078;  0.965; -0.262
-0.811;  1.766; -1.243;  0.689; -0.194;  0.322; -0.725;  0.981; -0.947;  0.232; -0.022;  0.990; -0.144
-0.511;  1.720; -1.263;  0.872; -0.148;  0.303; -0.489;  0.989; -0.953;  0.233;  0.039;  1.000; -0.027
-0.180;  1.685; -1.264;  0.984; -0.114;  0.302; -0.179;  0.993; -0.953;  0.212;  0.108;  0.993;  0.120
 0.161;  1.695; -1.208;  0.987; -0.124;  0.355;  0.160;  0.992; -0.935;  0.158;  0.178;  0.948;  0.318
 0.467;  1.711; -1.129;  0.893; -0.140;  0.428;  0.451;  0.990; -0.904;  0.087;  0.223;  0.865;  0.501
 0.738;  1.679; -1.085;  0.740; -0.108;  0.467;  0.673;  0.994; -0.884;  0.025;  0.240;  0.786;  0.618
 0.968;  1.608; -1.069;  0.567; -0.038;  0.481;  0.824;  0.999; -0.877; -0.021;  0.246;  0.729;  0.684
 1.149;  1.524; -1.078;  0.409;  0.047;  0.473;  0.912;  0.999; -0.881; -0.051;  0.246;  0.698;  0.716
 1.274;  1.424; -1.121;  0.292;  0.146;  0.435;  0.956;  0.989; -0.901; -0.062;  0.248;  0.705;  0.709
 1.381;  1.315; -1.197;  0.189;  0.253;  0.365;  0.982;  0.968; -0.931; -0.064;  0.251;  0.732;  0.681
 1.498;  1.224; -1.251;  0.073;  0.340;  0.314;  0.997;  0.941; -0.949; -0.073;  0.250;  0.742;  0.671
 1.570;  1.147; -1.292;  0.001;  0.411;  0.275;  1.000;  0.912; -0.961; -0.075;  0.250;  0.757;  0.653
 1.571;  1.048; -1.390; -0.000;  0.500;  0.179;  1.000;  0.866; -0.984; -0.050;  0.254;  0.817;  0.576
 1.569;  0.954; -1.551;  0.002;  0.578;  0.019;  1.000;  0.816; -1.000; -0.019;  0.249;  0.884;  0.467
 1.593;  0.897; -1.748; -0.022;  0.624; -0.176;  1.000;  0.782; -0.984; -0.001;  0.235;  0.932;  0.363
 1.587;  0.826; -1.877; -0.016;  0.678; -0.301;  1.000;  0.735; -0.954;  0.019;  0.222;  0.965;  0.262
 1.519;  0.762; -1.865;  0.051;  0.723; -0.290;  0.999;  0.691; -0.957;  0.040;  0.220;  0.978;  0.207
 1.445;  0.727; -1.835;  0.126;  0.747; -0.261;  0.992;  0.665; -0.965;  0.060;  0.218;  0.986;  0.168
 1.365;  0.703; -1.817;  0.204;  0.763; -0.244;  0.979;  0.647; -0.970;  0.079;  0.213;  0.992;  0.125
 1.256;  0.678; -1.809;  0.310;  0.779; -0.236;  0.951;  0.627; -0.972;  0.105;  0.202;  0.998;  0.063
 1.138;  0.654; -1.805;  0.419;  0.794; -0.232;  0.908;  0.608; -0.973;  0.130;  0.187;  1.000; -0.006
 1.013;  0.644; -1.803;  0.529;  0.800; -0.230;  0.848;  0.600; -0.973;  0.153;  0.169;  0.997; -0.073
 0.866;  0.631; -1.802;  0.648;  0.807; -0.229;  0.762;  0.590; -0.973;  0.177;  0.143;  0.988; -0.152
 0.660;  0.607; -1.802;  0.790;  0.822; -0.229;  0.613;  0.570; -0.973;  0.204;  0.101;  0.964; -0.264
 0.457;  0.548; -1.802;  0.897;  0.854; -0.229;  0.442;  0.521; -0.973;  0.220;  0.050;  0.922; -0.388
 0.318;  0.500; -1.789;  0.950;  0.878; -0.217;  0.313;  0.479; -0.976;  0.225;  0.013;  0.884; -0.467
 0.200;  0.510; -1.749;  0.980;  0.873; -0.178;  0.199;  0.488; -0.984;  0.230; -0.010;  0.868; -0.497
 0.087;  0.524; -1.702;  0.996;  0.866; -0.131;  0.087;  0.501; -0.991;  0.232; -0.031;  0.855; -0.519
 0.024;  0.548; -1.634;  1.000;  0.853; -0.063;  0.024;  0.521; -0.998;  0.238; -0.039;  0.862; -0.506
 0.015;  0.644; -1.558;  1.000;  0.800;  0.013;  0.015;  0.600; -1.000;  0.248; -0.023;  0.901; -0.434
 0.022;  0.784; -1.520;  1.000;  0.708;  0.050;  0.022;  0.706; -0.999;  0.252;  0.002;  0.937; -0.350
 0.050;  0.899; -1.468;  0.999;  0.622;  0.103;  0.050;  0.783; -0.995;  0.254;  0.032;  0.967; -0.256
 0.064;  0.975; -1.418;  0.998;  0.561;  0.152;  0.064;  0.828; -0.988;  0.253;  0.052;  0.982; -0.188
 0.007;  1.022; -1.412;  1.000;  0.521;  0.158;  0.007;  0.853; -0.987;  0.254;  0.045;  0.982; -0.190
-0.053;  1.004; -1.408;  0.999;  0.537;  0.162; -0.053;  0.844; -0.987;  0.257;  0.028;  0.974; -0.226
-0.104;  0.982; -1.424;  0.995;  0.555;  0.146; -0.104;  0.832; -0.989;  0.257;  0.010;  0.963; -0.269
-0.156;  1.022; -1.490;  0.988;  0.521;  0.081; -0.155;  0.853; -0.997;  0.253; -0.004;  0.952; -0.307
-0.147;  1.108; -1.564;  0.989;  0.447;  0.007; -0.146;  0.895; -1.000;  0.247;  0.005;  0.955; -0.297
-0.107;  1.200; -1.599;  0.994;  0.362; -0.028; -0.107;  0.932; -1.000;  0.242;  0.025;  0.968; -0.250
-0.086;  1.264; -1.603;  0.996;  0.302; -0.032; -0.086;  0.953; -0.999;  0.238;  0.039;  0.978; -0.211
-0.102;  1.278; -1.633;  0.995;  0.289; -0.063; -0.102;  0.957; -0.998;  0.237;  0.033;  0.974; -0.227
-0.136;  1.223; -1.723;  0.991;  0.341; -0.152; -0.136;  0.940; -0.988;  0.234;  0.010;  0.950; -0.313
-0.182;  1.158; -1.817;  0.983;  0.401; -0.244; -0.181;  0.916; -0.970;  0.228; -0.017;  0.913; -0.409
-0.227;  1.148; -1.833;  0.974;  0.410; -0.259; -0.225;  0.912; -0.966;  0.225; -0.030;  0.898; -0.440
-0.233;  1.182; -1.817;  0.973;  0.379; -0.244; -0.231;  0.925; -0.970;  0.227; -0.026;  0.907; -0.420
-0.207;  1.256; -1.809;  0.979;  0.310; -0.236; -0.205;  0.951; -0.972;  0.227; -0.010;  0.929; -0.371
-0.172;  1.377; -1.794;  0.985;  0.193; -0.221; -0.171;  0.981; -0.975;  0.226;  0.015;  0.957; -0.290
-0.150;  1.537; -1.792;  0.989;  0.034; -0.219; -0.150;  0.999; -0.976;  0.218;  0.040;  0.980; -0.201
-0.172;  1.750; -1.809;  0.985; -0.178; -0.236; -0.171;  0.984; -0.972;  0.205;  0.058;  0.993; -0.115
-0.258;  1.863; -1.808;  0.967; -0.288; -0.235; -0.255;  0.958; -0.972;  0.201;  0.053;  0.995; -0.098
-0.341;  1.852; -1.786;  0.943; -0.278; -0.213; -0.334;  0.961; -0.977;  0.206;  0.037;  0.991; -0.136
-0.355;  1.825; -1.717;  0.938; -0.251; -0.146; -0.347;  0.968; -0.989;  0.210;  0.038;  0.992; -0.123
-0.304;  1.762; -1.612;  0.954; -0.190; -0.042; -0.300;  0.982; -0.999;  0.215;  0.052;  0.997; -0.078
-0.243;  1.651; -1.511;  0.971; -0.080;  0.060; -0.241;  0.997; -0.998;  0.223;  0.063;  0.999; -0.051
-0.233;  1.553; -1.398;  0.973;  0.018;  0.172; -0.231;  1.000; -0.985;  0.232;  0.065;  0.999; -0.039
-0.231;  1.454; -1.242;  0.973;  0.116;  0.323; -0.229;  0.993; -0.946;  0.241;  0.069;  1.000; -0.010
-0.190;  1.344; -1.066;  0.982;  0.225;  0.484; -0.189;  0.974; -0.875;  0.248;  0.082;  0.999;  0.044
-0.109;  1.248; -0.856;  0.994;  0.318;  0.655; -0.109;  0.948; -0.755;  0.247;  0.111;  0.990;  0.141
 0.000;  1.179; -0.645;  1.000;  0.382;  0.799;  0.000;  0.924; -0.601;  0.233;  0.148;  0.965;  0.264
 0.136;  1.114; -0.494;  0.991;  0.441;  0.881;  0.136;  0.897; -0.474;  0.211;  0.184;  0.929;  0.369
 0.284;  1.004; -0.354;  0.960;  0.537;  0.938;  0.280;  0.843; -0.346;  0.189;  0.212;  0.893;  0.450
 0.434;  0.849; -0.214;  0.907;  0.661;  0.977;  0.420;  0.751; -0.212;  0.172;  0.234;  0.861;  0.509
 0.602;  0.642; -0.069;  0.824;  0.801;  0.998;  0.566;  0.599; -0.069;  0.157;  0.253;  0.832;  0.554
 0.737;  0.413;  0.074;  0.740;  0.916;  0.997;  0.672;  0.401;  0.074;  0.152;  0.262;  0.818;  0.575
 0.870;  0.161;  0.175;  0.645;  0.987;  0.985;  0.764;  0.160;  0.174;  0.155;  0.265;  0.824;  0.567
 1.017; -0.086;  0.238;  0.526;  0.996;  0.972;  0.850; -0.086;  0.236;  0.155;  0.266;  0.834;  0.552
 1.134; -0.293;  0.300;  0.423;  0.957;  0.955;  0.906; -0.289;  0.295;  0.155;  0.265;  0.842;  0.540
 1.261; -0.527;  0.338;  0.305;  0.864;  0.943;  0.952; -0.503;  0.332;  0.157;  0.259;  0.860;  0.511
 1.389; -0.798;  0.347;  0.180;  0.698;  0.941;  0.984; -0.716;  0.340;  0.166;  0.243;  0.892;  0.452
 1.460; -1.055;  0.332;  0.111;  0.493;  0.945;  0.994; -0.870;  0.326;  0.185;  0.213;  0.933;  0.360
 1.502; -1.259;  0.268;  0.069;  0.306;  0.964;  0.998; -0.952;  0.265;  0.200;  0.177;  0.968;  0.253
 1.592; -1.449;  0.171; -0.021;  0.122;  0.985;  1.000; -0.993;  0.171;  0.201;  0.148;  0.988;  0.157
 1.678; -1.617;  0.086; -0.107; -0.047;  0.996;  0.994; -0.999;  0.086;  0.198;  0.122;  0.997;  0.073
 1.726; -1.730; -0.010; -0.155; -0.159;  1.000;  0.988; -0.987; -0.010;  0.195;  0.097;  1.000; -0.007
 1.742; -1.831; -0.105; -0.171; -0.257;  0.994;  0.985; -0.966; -0.105;  0.191;  0.073;  0.996; -0.087
 1.747; -1.841; -0.134; -0.176; -0.267;  0.991;  0.984; -0.964; -0.134;  0.189;  0.064;  0.993; -0.115
 1.797; -1.817; -0.099; -0.225; -0.244;  0.995;  0.974; -0.970; -0.099;  0.187;  0.083;  0.998; -0.059
 1.837; -1.742;  0.013; -0.263; -0.170;  1.000;  0.965; -0.985;  0.013;  0.183;  0.118;  0.999;  0.054
 1.869; -1.652;  0.126; -0.294; -0.081;  0.992;  0.956; -0.997;  0.126;  0.172;  0.154;  0.985;  0.171
 1.908; -1.550;  0.243; -0.331;  0.021;  0.971;  0.944; -1.000;  0.241;  0.151;  0.192;  0.955;  0.296
 1.965; -1.386;  0.392; -0.384;  0.184;  0.924;  0.923; -0.983;  0.382;  0.107;  0.238;  0.884;  0.467
 2.038; -1.166;  0.533; -0.450;  0.394;  0.861;  0.893; -0.919;  0.508;  0.037;  0.274;  0.763;  0.646
 2.096; -0.884;  0.687; -0.501;  0.634;  0.773;  0.865; -0.773;  0.634; -0.051;  0.284;  0.582;  0.813
 2.173; -0.557;  0.838; -0.566;  0.849;  0.669;  0.824; -0.529;  0.744; -0.146;  0.252;  0.337;  0.941
 2.295; -0.205;  1.006; -0.662;  0.979;  0.536;  0.749; -0.204;  0.844; -0.226;  0.167;  0.023;  1.000
 2.433;  0.182;  1.242; -0.759;  0.984;  0.323;  0.651;  0.181;  0.946; -0.245;  0.043; -0.350;  0.937
 2.568;  0.549;  1.506; -0.840;  0.853;  0.065;  0.543;  0.522;  0.998; -0.194; -0.053; -0.675;  0.738
 2.724;  0.862;  1.760; -0.914;  0.651; -0.188;  0.406;  0.759;  0.982; -0.117; -0.091; -0.892;  0.452
 2.905;  1.191;  1.875; -0.972;  0.371; -0.300;  0.234;  0.929;  0.954; -0.050; -0.091; -0.988;  0.152
 3.086;  1.562;  1.858; -0.998;  0.009; -0.283;  0.055;  1.000;  0.959;  0.001; -0.070; -0.994; -0.112
 3.211;  1.881;  1.830; -0.998; -0.305; -0.256; -0.070;  0.952;  0.967;  0.025; -0.040; -0.955; -0.296
 3.205;  1.910;  1.815; -0.998; -0.333; -0.242; -0.064;  0.943;  0.970;  0.027; -0.031; -0.947; -0.321
 3.178;  1.871;  1.803; -0.999; -0.295; -0.230; -0.036;  0.955;  0.973;  0.026; -0.039; -0.960; -0.281
 3.158;  1.795;  1.778; -1.000; -0.223; -0.206; -0.016;  0.975;  0.979;  0.023; -0.051; -0.975; -0.222
 3.128;  1.697;  1.706; -1.000; -0.126; -0.135;  0.014;  0.992;  0.991;  0.018; -0.071; -0.992; -0.124
 3.053;  1.612;  1.570; -0.996; -0.042;  0.001;  0.089;  0.999;  1.000;  0.006; -0.096; -1.000;  0.024
 2.957;  1.567;  1.427; -0.983;  0.004;  0.143;  0.184;  1.000;  0.990; -0.013; -0.116; -0.986;  0.165
 2.841;  1.523;  1.301; -0.955;  0.047;  0.267;  0.296;  0.999;  0.964; -0.040; -0.128; -0.953;  0.304
 2.715;  1.458;  1.180; -0.910;  0.113;  0.381;  0.414;  0.994;  0.925; -0.077; -0.133; -0.894;  0.449
 2.626;  1.367;  1.053; -0.870;  0.202;  0.495;  0.493;  0.979;  0.869; -0.117; -0.130; -0.815;  0.580
 2.559;  1.234;  0.934; -0.835;  0.330;  0.595;  0.550;  0.944;  0.804; -0.161; -0.116; -0.712;  0.702
 2.501;  1.063;  0.850; -0.802;  0.486;  0.660;  0.598;  0.874;  0.751; -0.204; -0.086; -0.594;  0.804
 2.440;  0.889;  0.747; -0.764;  0.630;  0.733;  0.646;  0.777;  0.680; -0.240; -0.043; -0.451;  0.893
 2.366;  0.765;  0.607; -0.714;  0.721;  0.822;  0.700;  0.693;  0.570; -0.262;  0.009; -0.294;  0.956
 2.324;  0.662;  0.487; -0.684;  0.789;  0.884;  0.729;  0.614;  0.468; -0.271;  0.053; -0.165;  0.986
 2.294;  0.555;  0.395; -0.662;  0.850;  0.923;  0.750;  0.527;  0.384; -0.271;  0.093; -0.051;  0.999
 2.216;  0.451;  0.290; -0.601;  0.900;  0.958;  0.799;  0.436;  0.286; -0.257;  0.146;  0.092;  0.996
 2.097;  0.325;  0.199; -0.502;  0.948;  0.980;  0.865;  0.319;  0.197; -0.221;  0.207;  0.258;  0.966
 1.954;  0.148;  0.129; -0.374;  0.989;  0.992;  0.928;  0.147;  0.129; -0.155;  0.266;  0.440;  0.898
