j0; j1; j2; cos(j0); cos(j1); cos(j2); sin(j0); sin(j1); sin(j2); ee_x; ee_y; ee_qw; ee_qz
 0.905; -1.821; -1.496;  0.617; -0.248;  0.074;  0.787; -0.969; -0.997;  0.041; -0.074;  0.357; -0.934
 0.701; -1.876; -1.660;  0.764; -0.300; -0.089;  0.645; -0.954; -0.996;  0.010; -0.061;  0.151; -0.989
 0.571; -1.854; -1.838;  0.841; -0.279; -0.265;  0.540; -0.960; -0.964;  0.002; -0.044;  0.010; -1.000
 0.519; -1.830; -1.888;  0.868; -0.256; -0.312;  0.496; -0.967; -0.950;  0.003; -0.040; -0.031; -1.000
 0.518; -1.816; -1.860;  0.869; -0.242; -0.285;  0.495; -0.970; -0.959;  0.004; -0.045; -0.008; -1.000
 0.548; -1.805; -1.833;  0.853; -0.232; -0.259;  0.521; -0.973; -0.966;  0.006; -0.049;  0.026; -1.000
 0.587; -1.801; -1.773;  0.832; -0.228; -0.201;  0.554; -0.974; -0.980;  0.010; -0.055;  0.078; -0.997
 0.586; -1.790; -1.684;  0.833; -0.217; -0.113;  0.553; -0.976; -0.994;  0.013; -0.066;  0.127; -0.992
 0.529; -1.789; -1.587;  0.863; -0.217; -0.016;  0.505; -0.976; -1.000;  0.012; -0.077;  0.147; -0.989
 0.414; -1.815; -1.455;  0.915; -0.241;  0.116;  0.403; -0.970; -0.993;  0.003; -0.089;  0.142; -0.990
 0.255; -1.815; -1.285;  0.968; -0.242;  0.282;  0.253; -0.970; -0.960; -0.007; -0.107;  0.148; -0.989
 0.046; -1.810; -1.111;  0.999; -0.237;  0.443;  0.046; -0.972; -0.896; -0.025; -0.122;  0.133; -0.991
-0.205; -1.788; -0.988;  0.979; -0.215;  0.550; -0.204; -0.977; -0.835; -0.052; -0.129;  0.080; -0.997
-0.485; -1.779; -0.938;  0.885; -0.207;  0.592; -0.466; -0.978; -0.806; -0.085; -0.117; -0.030; -1.000
-0.783; -1.786; -0.888;  0.709; -0.213;  0.631; -0.705; -0.977; -0.776; -0.118; -0.091; -0.157; -0.988
-1.067; -1.760; -0.828;  0.482; -0.188;  0.677; -0.876; -0.982; -0.736; -0.143; -0.064; -0.254; -0.967
-1.339; -1.747; -0.766;  0.229; -0.175;  0.721; -0.973; -0.985; -0.693; -0.160; -0.031; -0.348; -0.938
-1.633; -1.765; -0.652; -0.063; -0.193;  0.795; -0.998; -0.981; -0.607; -0.171;  0.012; -0.439; -0.899
-1.985; -1.813; -0.514; -0.402; -0.240;  0.871; -0.916; -0.971; -0.492; -0.161;  0.072; -0.556; -0.831
-2.333; -1.823; -0.396; -0.690; -0.249;  0.923; -0.723; -0.968; -0.386; -0.139;  0.121; -0.648; -0.762
-2.621; -1.760; -0.295; -0.868; -0.188;  0.957; -0.497; -0.982; -0.291; -0.123;  0.155; -0.694; -0.720
-2.852; -1.662; -0.177; -0.958; -0.091;  0.984; -0.285; -0.996; -0.176; -0.118;  0.180; -0.700; -0.714
-3.081; -1.545; -0.041; -0.998;  0.026;  0.999; -0.061; -1.000; -0.041; -0.113;  0.203; -0.691; -0.723
-3.209; -1.385;  0.113; -0.998;  0.185;  0.994;  0.067; -0.983;  0.113; -0.136;  0.214; -0.623; -0.782
-3.198; -1.239;  0.290; -0.998;  0.326;  0.958;  0.056; -0.945;  0.286; -0.186;  0.195; -0.482; -0.876
-3.173; -1.103;  0.480; -1.000;  0.451;  0.887;  0.031; -0.892;  0.462; -0.230;  0.161; -0.321; -0.947
-3.118; -0.957;  0.657; -1.000;  0.576;  0.792; -0.024; -0.818;  0.611; -0.265;  0.108; -0.138; -0.990
-3.046; -0.837;  0.836; -0.995;  0.670;  0.670; -0.096; -0.743;  0.742; -0.283;  0.048;  0.047; -0.999
-2.986; -0.729;  1.041; -0.988;  0.746;  0.505; -0.155; -0.666;  0.863; -0.281; -0.011;  0.232; -0.973
-2.952; -0.636;  1.285; -0.982;  0.805;  0.282; -0.189; -0.594;  0.959; -0.262; -0.058;  0.407; -0.913
-2.914; -0.525;  1.569; -0.974;  0.865;  0.001; -0.226; -0.502;  1.000; -0.225; -0.098;  0.594; -0.804
-2.872; -0.381;  1.845; -0.964;  0.928; -0.270; -0.267; -0.371;  0.963; -0.183; -0.125;  0.747; -0.665
-2.828; -0.272;  1.895; -0.951;  0.963; -0.319; -0.308; -0.269;  0.948; -0.155; -0.137;  0.825; -0.565
-2.739; -0.189;  1.865; -0.920;  0.982; -0.290; -0.392; -0.188;  0.957; -0.136; -0.156;  0.862; -0.507
-2.623; -0.121;  1.831; -0.868;  0.993; -0.257; -0.496; -0.120;  0.966; -0.112; -0.175;  0.898; -0.441
-2.500; -0.116;  1.761; -0.801;  0.993; -0.189; -0.598; -0.116;  0.982; -0.095; -0.193;  0.910; -0.415
-2.379; -0.145;  1.619; -0.723;  0.989; -0.048; -0.691; -0.145;  0.999; -0.086; -0.213;  0.899; -0.437
-2.274; -0.130;  1.441; -0.647;  0.992;  0.129; -0.763; -0.130;  0.992; -0.076; -0.234;  0.886; -0.463
-2.191; -0.062;  1.273; -0.581;  0.998;  0.294; -0.814; -0.062;  0.956; -0.060; -0.250;  0.882; -0.471
-2.084;  0.037;  1.115; -0.491;  0.999;  0.440; -0.871;  0.037;  0.898; -0.029; -0.264;  0.893; -0.449
-1.984;  0.119;  0.983; -0.401;  0.993;  0.555; -0.916;  0.118;  0.832;  0.001; -0.272;  0.904; -0.427
-1.939;  0.151;  0.858; -0.360;  0.989;  0.654; -0.933;  0.150;  0.756;  0.008; -0.279;  0.894; -0.448
