j0; j1; cos(j0); cos(j1); sin(j0); sin(j1); ee_x; ee_y; ee_qw; ee_qz
 3.026;  1.647; -0.993; -0.076;  0.115;  0.997; -0.104; -0.098; -0.693;  0.721
 3.122;  1.549; -1.000;  0.022;  0.020;  1.000; -0.105; -0.108; -0.692;  0.722
 3.173;  1.422; -1.000;  0.149; -0.031;  0.989; -0.113; -0.113; -0.665;  0.747
 3.153;  1.297; -1.000;  0.271; -0.012;  0.963; -0.129; -0.107; -0.609;  0.793
 3.138;  1.143; -1.000;  0.414;  0.003;  0.910; -0.146; -0.100; -0.541;  0.841
 3.151;  0.934; -1.000;  0.595; -0.009;  0.804; -0.165; -0.090; -0.455;  0.891
 3.151;  0.738; -1.000;  0.739; -0.009;  0.673; -0.181; -0.076; -0.365;  0.931
 3.148;  0.576; -1.000;  0.839; -0.006;  0.545; -0.192; -0.061; -0.287;  0.958
 3.145;  0.385; -1.000;  0.927; -0.003;  0.376; -0.202; -0.042; -0.193;  0.981
 3.137;  0.174; -1.000;  0.985;  0.005;  0.173; -0.208; -0.018; -0.085;  0.996
 3.085;  0.008; -0.998;  1.000;  0.057;  0.008; -0.210;  0.011;  0.025;  1.000
 2.979; -0.126; -0.987;  0.992;  0.162; -0.125; -0.204;  0.047;  0.144;  0.990
 2.888; -0.249; -0.968;  0.969;  0.251; -0.247; -0.193;  0.078;  0.249;  0.968
 2.823; -0.359; -0.950;  0.936;  0.314; -0.352; -0.181;  0.100;  0.333;  0.943
 2.776; -0.431; -0.934;  0.909;  0.358; -0.418; -0.170;  0.114;  0.388;  0.922
 2.730; -0.456; -0.916;  0.898;  0.400; -0.441; -0.163;  0.124;  0.420;  0.907
 2.667; -0.511; -0.890;  0.872;  0.457; -0.489; -0.150;  0.137;  0.473;  0.881
 2.628; -0.619; -0.871;  0.815;  0.491; -0.580; -0.134;  0.149;  0.536;  0.844
 2.649; -0.773; -0.881;  0.716;  0.473; -0.698; -0.121;  0.152;  0.591;  0.807
 2.717; -0.914; -0.911;  0.610;  0.412; -0.792; -0.116;  0.148;  0.621;  0.784
 2.791; -0.995; -0.939;  0.545;  0.344; -0.839; -0.119;  0.142;  0.623;  0.782
 2.866; -1.025; -0.962;  0.519;  0.272; -0.855; -0.126;  0.133;  0.605;  0.796
 2.936; -1.010; -0.979;  0.532;  0.204; -0.847; -0.136;  0.124;  0.571;  0.821
 2.990; -0.993; -0.989;  0.546;  0.151; -0.838; -0.144;  0.115;  0.542;  0.841
 3.077; -1.030; -0.998;  0.515;  0.064; -0.857; -0.150;  0.104;  0.520;  0.854
 3.173; -1.074; -1.000;  0.477; -0.031; -0.879; -0.154;  0.094;  0.503;  0.864
 3.178; -1.084; -0.999;  0.468; -0.037; -0.884; -0.155;  0.091;  0.500;  0.866
 3.165; -1.066; -1.000;  0.483; -0.023; -0.875; -0.155;  0.093;  0.498;  0.867
 3.154; -1.009; -1.000;  0.533; -0.012; -0.846; -0.160;  0.091;  0.478;  0.878
 3.147; -0.960; -1.000;  0.573; -0.006; -0.819; -0.164;  0.089;  0.459;  0.888
 3.124; -0.899; -1.000;  0.622;  0.018; -0.783; -0.167;  0.089;  0.443;  0.897
 3.046; -0.831; -0.995;  0.674;  0.095; -0.739; -0.166;  0.097;  0.447;  0.895
 2.949; -0.771; -0.981;  0.717;  0.192; -0.697; -0.161;  0.109;  0.463;  0.886
 2.850; -0.701; -0.958;  0.764;  0.287; -0.645; -0.156;  0.121;  0.476;  0.880
 2.771; -0.651; -0.932;  0.795;  0.362; -0.606; -0.151;  0.130;  0.489;  0.872
 2.700; -0.588; -0.904;  0.832;  0.428; -0.555; -0.147;  0.137;  0.493;  0.870
 2.587; -0.468; -0.850;  0.893;  0.527; -0.451; -0.142;  0.147;  0.489;  0.872
 2.434; -0.330; -0.760;  0.946;  0.650; -0.324; -0.132;  0.160;  0.496;  0.868
 2.296; -0.218; -0.663;  0.976;  0.748; -0.216; -0.120;  0.171;  0.507;  0.862
 2.166; -0.092; -0.560;  0.996;  0.828; -0.092; -0.109;  0.179;  0.509;  0.861
 2.043;  0.013; -0.455;  1.000;  0.891;  0.013; -0.097;  0.186;  0.517;  0.856
 1.972;  0.055; -0.391;  0.998;  0.920;  0.055; -0.088;  0.191;  0.529;  0.849
 1.933;  0.060; -0.354;  0.998;  0.935;  0.060; -0.080;  0.194;  0.543;  0.839
 1.949;  0.041; -0.370;  0.999;  0.929;  0.041; -0.082;  0.193;  0.545;  0.839
 2.029; -0.011; -0.443;  1.000;  0.897; -0.011; -0.092;  0.189;  0.532;  0.847
 2.145; -0.086; -0.543;  0.996;  0.840; -0.086; -0.106;  0.181;  0.516;  0.857
 2.278; -0.187; -0.650;  0.983;  0.760; -0.186; -0.120;  0.171;  0.501;  0.865
