j0; j1; j2; j3; j4; cos(j0); cos(j1); cos(j2); cos(j3); cos(j4); sin(j0); sin(j1); sin(j2); sin(j3); sin(j4); ee_x; ee_y; ee_z; ee_qw; ee_qx; ee_qy; ee_qz
-0.442; -1.228; -0.614; -0.121;  1.536;  0.904;  0.336;  0.817;  0.993;  0.035; -0.428; -0.942; -0.576; -0.120;  0.999; -0.340;  0.029;  0.097;  0.517;  0.245; -0.668;  0.476
-0.434; -1.159; -0.850; -0.085;  1.580;  0.907;  0.401;  0.660;  0.996; -0.010; -0.421; -0.916; -0.751; -0.085;  1.000; -0.321;  0.017;  0.076;  0.476;  0.217; -0.670;  0.527
-0.447; -1.093; -1.139; -0.020;  1.590;  0.902;  0.460;  0.419;  1.000; -0.020; -0.432; -0.888; -0.908; -0.020;  1.000; -0.297;  0.009;  0.047;  0.437;  0.160; -0.684;  0.562
-0.497; -0.999; -1.465;  0.090;  1.583;  0.879;  0.541;  0.106;  0.996; -0.012; -0.477; -0.841; -0.994;  0.090;  1.000; -0.269;  0.009;  0.027;  0.417;  0.098; -0.697;  0.574
-0.578; -0.899; -1.721;  0.243;  1.578;  0.838;  0.622; -0.150;  0.971; -0.007; -0.546; -0.783; -0.989;  0.241;  1.000; -0.248;  0.018;  0.024;  0.436;  0.063; -0.702;  0.559
-0.642; -0.821; -1.704;  0.399;  1.575;  0.801;  0.681; -0.133;  0.922; -0.004; -0.599; -0.732; -0.991;  0.388;  1.000; -0.265;  0.048;  0.060;  0.520;  0.131; -0.694;  0.480
-0.702; -0.800; -1.612;  0.528;  1.574;  0.764;  0.697; -0.041;  0.864; -0.003; -0.645; -0.717; -0.999;  0.504;  1.000; -0.277;  0.077;  0.094;  0.587;  0.195; -0.679;  0.395
-0.726; -0.795; -1.471;  0.690;  1.535;  0.748;  0.700;  0.100;  0.771;  0.035; -0.664; -0.714; -0.995;  0.637;  0.999; -0.291;  0.098;  0.141;  0.649;  0.277; -0.651;  0.280
-0.725; -0.778; -1.276;  0.842;  1.501;  0.749;  0.712;  0.291;  0.666;  0.070; -0.663; -0.702; -0.957;  0.746;  0.998; -0.297;  0.103;  0.206;  0.700;  0.376; -0.588;  0.150
-0.714; -0.768; -1.041;  0.972;  1.540;  0.756;  0.720;  0.506;  0.563;  0.031; -0.655; -0.694; -0.863;  0.826;  1.000; -0.284;  0.087;  0.268;  0.713;  0.494; -0.495;  0.036
-0.656; -0.759; -0.778;  1.129;  1.606;  0.793;  0.725;  0.712;  0.427; -0.035; -0.610; -0.688; -0.702;  0.904;  0.999; -0.255;  0.045;  0.320;  0.690;  0.623; -0.360; -0.081
-0.550; -0.776; -0.506;  1.308;  1.587;  0.852;  0.714;  0.875;  0.259; -0.016; -0.523; -0.700; -0.484;  0.966;  1.000; -0.216; -0.008;  0.358;  0.672;  0.688; -0.185; -0.200
-0.456; -0.836; -0.249;  1.518;  1.499;  0.898;  0.671;  0.969;  0.053;  0.072; -0.440; -0.742; -0.246;  0.999;  0.997; -0.167; -0.052;  0.372;  0.663;  0.684;  0.003; -0.304
-0.407; -0.873; -0.008;  1.632;  1.393;  0.918;  0.643;  1.000; -0.061;  0.177; -0.396; -0.766; -0.008;  0.998;  0.984; -0.116; -0.079;  0.375;  0.650;  0.641;  0.157; -0.376
-0.358; -0.900;  0.182;  1.618;  1.341;  0.936;  0.622;  0.983; -0.047;  0.228; -0.351; -0.783;  0.181;  0.999;  0.974; -0.085; -0.093;  0.375;  0.646;  0.611;  0.236; -0.392
