j0; j1; j2; j3; j4; cos(j0); cos(j1); cos(j2); cos(j3); cos(j4); sin(j0); sin(j1); sin(j2); sin(j3); sin(j4); ee_x; ee_y; ee_z; ee_qw; ee_qx; ee_qy; ee_qz
 0.856; -0.315;  1.578; -1.596; -1.393;  0.656;  0.951; -0.007; -0.025;  0.177;  0.755; -0.310;  1.000; -1.000; -0.984; -0.072;  0.097;  0.402;  0.732; -0.523; -0.378;  0.217
 0.677; -0.041;  1.576; -1.556; -1.711;  0.779;  0.999; -0.005;  0.014; -0.140;  0.627; -0.041;  1.000; -1.000; -0.990;  0.006;  0.157;  0.345;  0.615; -0.715; -0.259;  0.208
 0.436;  0.240;  1.555; -1.467; -1.709;  0.906;  0.971;  0.016;  0.103; -0.138;  0.422;  0.238;  1.000; -0.995; -0.990;  0.099;  0.177;  0.310;  0.605; -0.750; -0.057;  0.260
 0.145;  0.499;  1.518; -1.338; -1.635;  0.990;  0.878;  0.053;  0.231; -0.064;  0.144;  0.479;  0.999; -0.973; -0.998;  0.200;  0.150;  0.268;  0.626; -0.702;  0.178;  0.289
-0.182;  0.691;  1.465; -1.223; -1.546;  0.983;  0.771;  0.106;  0.341;  0.025; -0.181;  0.637;  0.994; -0.940; -1.000;  0.274;  0.071;  0.229;  0.665; -0.592;  0.377;  0.254
-0.506;  0.833;  1.386; -1.149; -1.483;  0.875;  0.673;  0.184;  0.410;  0.088; -0.485;  0.740;  0.983; -0.912; -0.996;  0.302; -0.031;  0.203;  0.700; -0.468;  0.509;  0.174
-0.818;  0.989;  1.316; -1.085; -1.415;  0.683;  0.550;  0.252;  0.467;  0.155; -0.730;  0.835;  0.968; -0.884; -0.988;  0.291; -0.137;  0.168;  0.720; -0.316;  0.611;  0.094
-1.128;  1.172;  1.254; -1.048; -1.294;  0.429;  0.388;  0.312;  0.499;  0.273; -0.904;  0.922;  0.950; -0.866; -0.962;  0.241; -0.238;  0.123;  0.725; -0.122;  0.677; -0.005
-1.416;  1.372;  1.147; -1.080; -1.124;  0.154;  0.197;  0.411;  0.471;  0.432; -0.988;  0.980;  0.912; -0.882; -0.902;  0.159; -0.317;  0.089;  0.712;  0.058;  0.684; -0.147
-1.643;  1.576;  1.022; -1.152; -0.963; -0.072; -0.005;  0.522;  0.406;  0.571; -0.997;  1.000;  0.853; -0.914; -0.821;  0.084; -0.353;  0.063;  0.681;  0.182;  0.656; -0.268
-1.659;  1.633;  0.903; -1.233; -0.803; -0.088; -0.062;  0.619;  0.331;  0.695; -0.996;  0.998;  0.785; -0.944; -0.719;  0.053; -0.370;  0.089;  0.668;  0.204;  0.606; -0.380
-1.619;  1.597;  0.802; -1.346; -0.649; -0.049; -0.026;  0.696;  0.222;  0.796; -0.999;  1.000;  0.718; -0.975; -0.605;  0.055; -0.370;  0.155;  0.681;  0.154;  0.528; -0.483
-1.533;  1.557;  0.713; -1.512; -0.565;  0.038;  0.014;  0.757;  0.059;  0.845; -0.999;  1.000;  0.654; -0.998; -0.535;  0.077; -0.340;  0.223;  0.714;  0.060;  0.435; -0.545
-1.396;  1.535;  0.587; -1.650; -0.522;  0.174;  0.035;  0.833; -0.079;  0.867; -0.985;  0.999;  0.554; -0.997; -0.498;  0.111; -0.287;  0.277;  0.758; -0.049;  0.332; -0.559
-1.235;  1.478;  0.455; -1.642; -0.521;  0.329;  0.092;  0.898; -0.072;  0.868; -0.944;  0.996;  0.440; -0.997; -0.497;  0.147; -0.240;  0.316;  0.801; -0.127;  0.261; -0.523
-1.032;  1.407;  0.371; -1.592; -0.577;  0.513;  0.163;  0.932; -0.021;  0.838; -0.858;  0.987;  0.362; -1.000; -0.545;  0.188; -0.186;  0.342;  0.843; -0.202;  0.217; -0.448
-0.767;  1.377;  0.305; -1.503; -0.634;  0.720;  0.193;  0.954;  0.068;  0.806; -0.694;  0.981;  0.300; -0.998; -0.592;  0.233; -0.126;  0.352;  0.888; -0.256;  0.195; -0.329
-0.477;  1.417;  0.238; -1.394; -0.628;  0.888;  0.154;  0.972;  0.175;  0.809; -0.459;  0.988;  0.236; -0.984; -0.587;  0.275; -0.063;  0.348;  0.926; -0.268;  0.192; -0.184
-0.199;  1.524;  0.141; -1.259; -0.581;  0.980;  0.047;  0.990;  0.307;  0.836; -0.197;  0.999;  0.141; -0.952; -0.549;  0.311;  0.005;  0.328;  0.940; -0.260;  0.220; -0.036
 0.090;  1.615;  0.024; -1.100; -0.505;  0.996; -0.045;  1.000;  0.453;  0.875;  0.090;  0.999;  0.024; -0.891; -0.483;  0.327;  0.088;  0.310;  0.929; -0.252;  0.249;  0.109
 0.365;  1.612; -0.093; -0.963; -0.389;  0.934; -0.042;  0.996;  0.571;  0.925;  0.357;  0.999; -0.092; -0.821; -0.379;  0.301;  0.164;  0.328;  0.918; -0.232;  0.232;  0.224
 0.609;  1.596; -0.199; -0.864; -0.277;  0.820; -0.025;  0.980;  0.650;  0.962;  0.572;  1.000; -0.198; -0.760; -0.273;  0.256;  0.219;  0.350;  0.901; -0.205;  0.209;  0.321
 0.849;  1.570; -0.307; -0.798; -0.176;  0.661;  0.001;  0.953;  0.698;  0.985;  0.750;  1.000; -0.303; -0.716; -0.175;  0.195;  0.253;  0.377;  0.875; -0.172;  0.174;  0.418
 1.065;  1.504; -0.443; -0.774; -0.039;  0.485;  0.067;  0.904;  0.715;  0.999;  0.875;  0.998; -0.428; -0.699; -0.039;  0.128;  0.240;  0.421;  0.851; -0.089;  0.114;  0.505
 1.243;  1.420; -0.553; -0.743;  0.112;  0.322;  0.150;  0.851;  0.737;  0.994;  0.947;  0.989; -0.525; -0.676;  0.112;  0.084;  0.206;  0.455;  0.812;  0.009;  0.083;  0.577
 1.420;  1.339; -0.664; -0.699;  0.285;  0.150;  0.230;  0.788;  0.766;  0.960;  0.989;  0.973; -0.616; -0.643;  0.282;  0.059;  0.163;  0.476;  0.750;  0.115;  0.084;  0.646
 1.608;  1.212; -0.831; -0.705;  0.521; -0.037;  0.351;  0.674;  0.762;  0.867;  0.999;  0.936; -0.739; -0.648;  0.498;  0.059;  0.075;  0.483;  0.643;  0.290;  0.070;  0.705
 1.631;  1.018; -1.033; -0.712;  0.763; -0.060;  0.525;  0.512;  0.757;  0.723;  0.998;  0.851; -0.859; -0.653;  0.691;  0.085; -0.037;  0.453;  0.497;  0.479;  0.028;  0.723
 1.610;  0.828; -1.210; -0.690;  1.012; -0.039;  0.677;  0.353;  0.771;  0.530;  0.999;  0.736; -0.936; -0.636;  0.848;  0.106; -0.113;  0.397;  0.342;  0.611; -0.009;  0.714
 1.593;  0.637; -1.374; -0.659;  1.285; -0.022;  0.804;  0.196;  0.791;  0.282;  1.000;  0.594; -0.981; -0.612;  0.959;  0.119; -0.152;  0.331;  0.153;  0.689; -0.032;  0.708
 1.583;  0.378; -1.530; -0.650;  1.523; -0.012;  0.930;  0.041;  0.796;  0.048;  1.000;  0.369; -0.999; -0.605;  0.999;  0.122; -0.176;  0.254; -0.069;  0.705; -0.094;  0.700
 1.548;  0.083; -1.619; -0.681;  1.622;  0.023;  0.997; -0.048;  0.777; -0.051;  1.000;  0.082; -0.999; -0.629;  0.999;  0.115; -0.190;  0.182; -0.237;  0.661; -0.215;  0.679
 1.477; -0.173; -1.616; -0.696;  1.615;  0.093;  0.985; -0.045;  0.768; -0.044;  0.996; -0.172; -0.999; -0.641;  0.999;  0.101; -0.204;  0.133; -0.296;  0.613; -0.327;  0.656
 1.434; -0.405; -1.599; -0.671;  1.596;  0.136;  0.919; -0.028;  0.783; -0.026;  0.991; -0.394; -1.000; -0.621;  1.000;  0.092; -0.208;  0.090; -0.336;  0.571; -0.403;  0.631
 1.405; -0.690; -1.560; -0.607;  1.577;  0.165;  0.771;  0.010;  0.821; -0.007;  0.986; -0.637; -1.000; -0.570;  1.000;  0.087; -0.205;  0.041; -0.378;  0.527; -0.468;  0.600
 1.339; -0.982; -1.535; -0.540;  1.572;  0.230;  0.555;  0.036;  0.858; -0.002;  0.973; -0.832; -0.999; -0.514;  1.000;  0.079; -0.189; -0.007; -0.416;  0.461; -0.534;  0.574
 1.220; -1.273; -1.555; -0.509;  1.558;  0.343;  0.294;  0.016;  0.873;  0.013;  0.939; -0.956; -1.000; -0.488;  1.000;  0.073; -0.151; -0.052; -0.458;  0.350; -0.620;  0.533
 1.100; -1.613; -1.592; -0.534;  1.507;  0.454; -0.042; -0.021;  0.861;  0.063;  0.891; -0.999; -1.000; -0.509;  0.998;  0.091; -0.084; -0.081; -0.525;  0.192; -0.699;  0.445
 0.977; -1.710; -1.591; -0.599;  1.437;  0.559; -0.139; -0.020;  0.826;  0.134;  0.829; -0.990; -1.000; -0.564;  0.991;  0.099; -0.066; -0.084; -0.535;  0.111; -0.732;  0.407
 0.821; -1.669; -1.583; -0.654;  1.393;  0.681; -0.098; -0.012;  0.794;  0.177;  0.732; -0.995; -1.000; -0.608;  0.984;  0.085; -0.082; -0.083; -0.500;  0.064; -0.748;  0.431
 0.668; -1.625; -1.558; -0.733;  1.352;  0.785; -0.054;  0.013;  0.743;  0.217;  0.619; -0.999; -1.000; -0.669;  0.976;  0.067; -0.096; -0.082; -0.468;  0.014; -0.760;  0.451
 0.530; -1.581; -1.532; -0.840;  1.280;  0.863; -0.011;  0.039;  0.667;  0.287;  0.505; -1.000; -0.999; -0.745;  0.958;  0.054; -0.102; -0.079; -0.449; -0.035; -0.773;  0.446
 0.448; -1.539; -1.503; -0.957;  1.172;  0.901;  0.032;  0.068;  0.576;  0.389;  0.433; -0.999; -0.998; -0.817;  0.921;  0.049; -0.099; -0.077; -0.449; -0.056; -0.790;  0.413
 0.368; -1.469; -1.454; -1.060;  1.067;  0.933;  0.102;  0.117;  0.489;  0.483;  0.360; -0.995; -0.993; -0.872;  0.876;  0.034; -0.100; -0.077; -0.430; -0.060; -0.811;  0.392
 0.249; -1.387; -1.382; -1.159;  0.983;  0.969;  0.182;  0.187;  0.401;  0.555;  0.246; -0.983; -0.982; -0.916;  0.832;  0.006; -0.102; -0.076; -0.389; -0.078; -0.830;  0.390
 0.090; -1.366; -1.255; -1.258;  0.907;  0.996;  0.203;  0.310;  0.308;  0.616;  0.090; -0.979; -0.951; -0.951;  0.788; -0.027; -0.097; -0.078; -0.342; -0.120; -0.845;  0.394
-0.070; -1.380; -1.122; -1.334;  0.875;  0.998;  0.189;  0.434;  0.234;  0.641; -0.070; -0.982; -0.901; -0.972;  0.768; -0.057; -0.088; -0.080; -0.294; -0.174; -0.846;  0.409
-0.165; -1.363; -1.015; -1.385;  0.889;  0.986;  0.207;  0.528;  0.185;  0.630; -0.165; -0.978; -0.849; -0.983;  0.776; -0.087; -0.080; -0.077; -0.241; -0.202; -0.846;  0.431
-0.247; -1.333; -0.884; -1.436;  0.949;  0.970;  0.236;  0.634;  0.135;  0.582; -0.245; -0.972; -0.773; -0.991;  0.813; -0.125; -0.069; -0.067; -0.168; -0.221; -0.840;  0.466
-0.361; -1.294; -0.765; -1.517;  1.020;  0.936;  0.274;  0.722;  0.053;  0.523; -0.353; -0.962; -0.692; -0.999;  0.852; -0.156; -0.050; -0.048; -0.099; -0.256; -0.820;  0.503
-0.454; -1.216; -0.667; -1.587;  1.083;  0.899;  0.347;  0.786; -0.017;  0.469; -0.438; -0.938; -0.618; -1.000;  0.883; -0.185; -0.028; -0.023; -0.019; -0.270; -0.806;  0.526
-0.508; -1.138; -0.568; -1.589;  1.183;  0.874;  0.419;  0.843; -0.018;  0.378; -0.487; -0.908; -0.538; -1.000;  0.926; -0.215; -0.007;  0.008;  0.078; -0.250; -0.790;  0.554
-0.524; -1.045; -0.478; -1.533;  1.337;  0.866;  0.502;  0.888;  0.038;  0.231; -0.501; -0.865; -0.460; -0.999;  0.973; -0.247;  0.008;  0.053;  0.193; -0.177; -0.764;  0.590
-0.505; -0.914; -0.403; -1.426;  1.503;  0.875;  0.610;  0.920;  0.144;  0.067; -0.484; -0.792; -0.392; -0.990;  0.998; -0.269;  0.012;  0.116;  0.307; -0.048; -0.727;  0.612
-0.521; -0.805; -0.372; -1.289;  1.634;  0.867;  0.693;  0.931;  0.278; -0.063; -0.498; -0.721; -0.364; -0.961;  0.998; -0.274;  0.019;  0.170;  0.396;  0.068; -0.684;  0.609
-0.550; -0.755; -0.381; -1.165;  1.631;  0.852;  0.729;  0.928;  0.395; -0.060; -0.523; -0.685; -0.372; -0.919;  0.998; -0.280;  0.031;  0.190;  0.450;  0.116; -0.683;  0.564
-0.548; -0.745; -0.430; -1.060;  1.591;  0.853;  0.735;  0.909;  0.489; -0.020; -0.521; -0.678; -0.416; -0.872;  1.000; -0.289;  0.036;  0.189;  0.469;  0.131; -0.690;  0.535
-0.514; -0.722; -0.518; -0.941;  1.569;  0.871;  0.750;  0.869;  0.589;  0.002; -0.492; -0.661; -0.495; -0.808;  1.000; -0.295;  0.029;  0.187;  0.475;  0.156; -0.690;  0.523
-0.448; -0.649; -0.629; -0.794;  1.548;  0.902;  0.796;  0.809;  0.701;  0.023; -0.433; -0.605; -0.588; -0.714;  1.000; -0.300;  0.011;  0.198;  0.489;  0.211; -0.679;  0.506
-0.352; -0.573; -0.777; -0.667;  1.500;  0.939;  0.840;  0.713;  0.786;  0.071; -0.345; -0.542; -0.701; -0.619;  0.997; -0.303; -0.016;  0.198;  0.485;  0.249; -0.673;  0.499
-0.276; -0.485; -0.933; -0.602;  1.461;  0.962;  0.885;  0.595;  0.824;  0.110; -0.273; -0.466; -0.804; -0.566;  0.994; -0.298; -0.040;  0.193;  0.470;  0.264; -0.674;  0.505
-0.244; -0.399; -1.057; -0.541;  1.456;  0.970;  0.922;  0.492;  0.857;  0.115; -0.242; -0.388; -0.871; -0.515;  0.993; -0.290; -0.051;  0.196;  0.470;  0.281; -0.667;  0.506
-0.196; -0.322; -1.155; -0.467;  1.458;  0.981;  0.949;  0.404;  0.893;  0.113; -0.195; -0.317; -0.915; -0.450;  0.994; -0.282; -0.066;  0.203;  0.472;  0.313; -0.650;  0.507
-0.108; -0.199; -1.241; -0.436;  1.411;  0.994;  0.980;  0.324;  0.907;  0.159; -0.107; -0.198; -0.946; -0.422;  0.987; -0.270; -0.090;  0.217;  0.478;  0.350; -0.634;  0.498
 0.022; -0.046; -1.360; -0.413;  1.302;  1.000;  0.999;  0.210;  0.916;  0.266;  0.022; -0.046; -0.978; -0.401;  0.964; -0.253; -0.121;  0.227;  0.484;  0.379; -0.624;  0.483
 0.200;  0.128; -1.526; -0.363;  1.166;  0.980;  0.992;  0.045;  0.935;  0.394;  0.199;  0.127; -0.999; -0.355;  0.919; -0.227; -0.159;  0.232;  0.487;  0.413; -0.605;  0.475
 0.435;  0.292; -1.623; -0.279;  1.007;  0.907;  0.958; -0.052;  0.961;  0.535;  0.421;  0.288; -0.999; -0.275;  0.845; -0.188; -0.199;  0.258;  0.516;  0.462; -0.546;  0.471
 0.713;  0.457; -1.608; -0.184;  0.805;  0.757;  0.897; -0.037;  0.983;  0.693;  0.654;  0.442; -0.999; -0.183;  0.720; -0.129; -0.225;  0.325;  0.593;  0.487; -0.426;  0.479
 0.974;  0.656; -1.523; -0.094;  0.607;  0.562;  0.793;  0.048;  0.996;  0.821;  0.827;  0.610; -0.999; -0.094;  0.570; -0.051; -0.197;  0.416;  0.683;  0.441; -0.266;  0.518
 1.191;  0.823; -1.383;  0.026;  0.394;  0.370;  0.680;  0.187;  1.000;  0.923;  0.929;  0.733; -0.982;  0.026;  0.384;  0.008; -0.103;  0.497;  0.754;  0.301; -0.108;  0.574
 1.417;  0.922; -1.209;  0.151;  0.182;  0.154;  0.604;  0.354;  0.989;  0.984;  0.988;  0.797; -0.935;  0.151;  0.181;  0.025;  0.021;  0.538;  0.751;  0.113;  0.008;  0.651
 1.624;  0.971; -0.992;  0.285;  0.007; -0.053;  0.565;  0.547;  0.960;  1.000;  0.999;  0.825; -0.837;  0.281;  0.007; -0.003;  0.150;  0.534;  0.693; -0.092;  0.094;  0.709
 1.643;  0.990; -0.779;  0.438; -0.171; -0.072;  0.549;  0.712;  0.906;  0.985;  0.997;  0.836; -0.702;  0.424; -0.170; -0.040;  0.254;  0.489;  0.622; -0.288;  0.156;  0.711
 1.617;  1.032; -0.576;  0.619; -0.352; -0.046;  0.513;  0.838;  0.815;  0.939;  0.999;  0.859; -0.545;  0.580; -0.345; -0.057;  0.341;  0.398;  0.519; -0.468;  0.239;  0.674
 1.595;  1.112; -0.389;  0.849; -0.561; -0.024;  0.443;  0.925;  0.660;  0.847;  1.000;  0.897; -0.379;  0.751; -0.532; -0.073;  0.386;  0.266;  0.334; -0.623;  0.335;  0.623
 1.542;  1.195; -0.243;  1.073; -0.760;  0.029;  0.367;  0.971;  0.477;  0.725;  1.000;  0.930; -0.241;  0.879; -0.689; -0.072;  0.376;  0.151;  0.134; -0.690;  0.428;  0.568
 1.490;  1.287; -0.069;  1.258; -0.902;  0.081;  0.280;  0.998;  0.307;  0.620;  0.997;  0.960; -0.069;  0.952; -0.785; -0.068;  0.332;  0.055; -0.064; -0.681;  0.529;  0.502
 1.448;  1.389;  0.159;  1.459; -1.043;  0.122;  0.181;  0.987;  0.111;  0.504;  0.993;  0.983;  0.158;  0.994; -0.864; -0.073;  0.253; -0.016; -0.286; -0.598;  0.626;  0.411
 1.394;  1.457;  0.424;  1.646; -1.174;  0.176;  0.114;  0.911; -0.076;  0.386;  0.984;  0.993;  0.412;  0.997; -0.922; -0.081;  0.175; -0.037; -0.464; -0.450;  0.691;  0.323
 1.343;  1.466;  0.700;  1.654; -1.312;  0.225;  0.104;  0.765; -0.084;  0.256;  0.974;  0.995;  0.644;  0.997; -0.967; -0.089;  0.132; -0.028; -0.565; -0.305;  0.712;  0.285
 1.260;  1.454;  0.983;  1.599; -1.445;  0.306;  0.116;  0.555; -0.028;  0.125;  0.952;  0.993;  0.832;  1.000; -0.992; -0.089;  0.112; -0.017; -0.613; -0.167;  0.715;  0.291
 1.146;  1.469;  1.247;  1.525; -1.517;  0.412;  0.101;  0.319;  0.046;  0.054;  0.911;  0.995;  0.948;  0.999; -0.999; -0.090;  0.092; -0.009; -0.637; -0.033;  0.715;  0.287
 0.997;  1.493;  1.479;  1.483; -1.560;  0.543;  0.078;  0.092;  0.087;  0.010;  0.840;  0.997;  0.996;  0.996; -1.000; -0.092;  0.078;  0.006; -0.648;  0.108;  0.700;  0.282
 0.839;  1.528;  1.638;  1.436; -1.566;  0.668;  0.042; -0.067;  0.134;  0.005;  0.744;  0.999;  0.998;  0.991; -1.000; -0.095;  0.074;  0.018; -0.647;  0.217;  0.673;  0.285
 0.719;  1.577;  1.636;  1.369; -1.498;  0.753; -0.006; -0.065;  0.201;  0.072;  0.658;  1.000;  0.998;  0.980; -0.997; -0.094;  0.077;  0.009; -0.632;  0.227;  0.673;  0.309
 0.615;  1.585;  1.575;  1.322; -1.382;  0.817; -0.014; -0.004;  0.247;  0.188;  0.577;  1.000;  1.000;  0.969; -0.982; -0.089;  0.081; -0.008; -0.607;  0.194;  0.696;  0.331
 0.500;  1.546;  1.467;  1.286; -1.251;  0.878;  0.025;  0.103;  0.281;  0.315;  0.479;  1.000;  0.995;  0.960; -0.949; -0.069;  0.092; -0.033; -0.551;  0.142;  0.737;  0.365
 0.411;  1.464;  1.360;  1.261; -1.104;  0.917;  0.107;  0.209;  0.305;  0.450;  0.399;  0.994;  0.978;  0.952; -0.893; -0.036;  0.101; -0.057; -0.474;  0.078;  0.791;  0.378
 0.337;  1.404;  1.234;  1.286; -0.955;  0.944;  0.166;  0.330;  0.281;  0.578;  0.331;  0.986;  0.944;  0.960; -0.816; -0.003;  0.103; -0.074; -0.405;  0.035;  0.839;  0.362
 0.221;  1.418;  1.077;  1.360; -0.800;  0.976;  0.153;  0.474;  0.209;  0.697;  0.219;  0.988;  0.880;  0.978; -0.717;  0.025;  0.094; -0.086; -0.360;  0.040;  0.873;  0.327
 0.082;  1.447;  0.911;  1.473; -0.607;  0.997;  0.123;  0.613;  0.098;  0.822;  0.082;  0.992;  0.790;  0.995; -0.570;  0.045;  0.072; -0.094; -0.334;  0.064;  0.902;  0.268
-0.030;  1.462;  0.729;  1.601; -0.417;  1.000;  0.108;  0.746; -0.030;  0.914; -0.030;  0.994;  0.666;  1.000; -0.405;  0.068;  0.047; -0.099; -0.300;  0.078;  0.929;  0.202
-0.095;  1.508;  0.528;  1.615; -0.225;  0.996;  0.062;  0.864; -0.044;  0.975; -0.095;  0.998;  0.504;  0.999; -0.223;  0.097;  0.018; -0.110; -0.246;  0.074;  0.959;  0.121
-0.150;  1.572;  0.300;  1.600; -0.013;  0.989; -0.001;  0.955; -0.029;  1.000; -0.149;  1.000;  0.296;  1.000; -0.013;  0.137; -0.019; -0.120; -0.164;  0.075;  0.983;  0.019
-0.213;  1.590;  0.103;  1.553;  0.225;  0.977; -0.019;  0.995;  0.018;  0.975; -0.211;  1.000;  0.103;  1.000;  0.223;  0.185; -0.067; -0.111; -0.064;  0.099;  0.987; -0.106
-0.301;  1.584; -0.056;  1.437;  0.530;  0.955; -0.013;  0.998;  0.134;  0.863; -0.296;  1.000; -0.056;  0.991;  0.505;  0.229; -0.134; -0.077;  0.045;  0.167;  0.947; -0.271
-0.416;  1.576; -0.242;  1.270;  0.832;  0.915; -0.005;  0.971;  0.296;  0.673; -0.404;  1.000; -0.240;  0.955;  0.739;  0.254; -0.209; -0.008;  0.157;  0.287;  0.841; -0.432
-0.538;  1.565; -0.447;  1.059;  1.113;  0.859;  0.005;  0.902;  0.490;  0.442; -0.513;  1.000; -0.432;  0.872;  0.897;  0.243; -0.270;  0.088;  0.255;  0.436;  0.660; -0.556
-0.633;  1.577; -0.626;  0.831;  1.426;  0.806; -0.006;  0.810;  0.674;  0.144; -0.592;  1.000; -0.586;  0.738;  0.990;  0.195; -0.290;  0.171;  0.294;  0.574;  0.431; -0.631
-0.728;  1.586; -0.782;  0.621;  1.659;  0.746; -0.016;  0.709;  0.814; -0.088; -0.665;  1.000; -0.705;  0.582;  0.996;  0.138; -0.283;  0.224;  0.302;  0.680;  0.210; -0.634
-0.842;  1.582; -0.929;  0.398;  1.662;  0.666; -0.011;  0.599;  0.922; -0.091; -0.746;  1.000; -0.801;  0.387;  0.996;  0.089; -0.279;  0.273;  0.380;  0.722;  0.047; -0.577
-0.946;  1.578; -1.085;  0.163;  1.605;  0.585; -0.007;  0.467;  0.987; -0.034; -0.811;  1.000; -0.884;  0.162;  0.999;  0.037; -0.256;  0.319;  0.480;  0.708; -0.111; -0.506
-1.052;  1.573; -1.271; -0.061;  1.500;  0.496; -0.002;  0.295;  0.998;  0.071; -0.868;  1.000; -0.955; -0.061;  0.998; -0.019; -0.209;  0.360;  0.587;  0.629; -0.264; -0.436
-1.120;  1.551; -1.442; -0.280;  1.378;  0.436;  0.020;  0.128;  0.961;  0.191; -0.900;  1.000; -0.992; -0.277;  0.981; -0.063; -0.140;  0.383;  0.681;  0.502; -0.393; -0.362
-1.118;  1.527; -1.610; -0.462;  1.236;  0.438;  0.044; -0.039;  0.895;  0.328; -0.899;  0.999; -0.999; -0.446;  0.945; -0.093; -0.068;  0.381;  0.748;  0.357; -0.482; -0.284
-1.081;  1.506; -1.656; -0.598;  1.079;  0.470;  0.065; -0.085;  0.826;  0.472; -0.883;  0.998; -0.996; -0.563;  0.882; -0.105; -0.028;  0.376;  0.781;  0.248; -0.516; -0.249
-1.078;  1.439; -1.625; -0.710;  0.967;  0.473;  0.131; -0.054;  0.758;  0.568; -0.881;  0.991; -0.999; -0.652;  0.823; -0.113;  0.001;  0.372;  0.788;  0.163; -0.544; -0.237
-1.141;  1.335; -1.580; -0.782;  0.897;  0.417;  0.234; -0.009;  0.710;  0.624; -0.909;  0.972; -1.000; -0.705;  0.781; -0.119;  0.036;  0.366;  0.776;  0.079; -0.576; -0.245
-1.224;  1.250; -1.515; -0.821;  0.870;  0.340;  0.315;  0.055;  0.681;  0.645; -0.940;  0.949; -0.998; -0.732;  0.764; -0.118;  0.058;  0.365;  0.761;  0.026; -0.591; -0.268
-1.302;  1.199; -1.431; -0.873;  0.902;  0.265;  0.363;  0.139;  0.643;  0.620; -0.964;  0.932; -0.990; -0.766;  0.785; -0.115;  0.064;  0.367;  0.748;  0.009; -0.601; -0.282
-1.376;  1.150; -1.323; -0.949;  0.970;  0.194;  0.408;  0.245;  0.583;  0.566; -0.981;  0.913; -0.969; -0.813;  0.825; -0.113;  0.062;  0.368;  0.736;  0.006; -0.614; -0.284
-1.435;  1.133; -1.161; -1.003;  1.019;  0.135;  0.424;  0.399;  0.538;  0.525; -0.991;  0.906; -0.917; -0.843;  0.851; -0.109;  0.042;  0.383;  0.730;  0.036; -0.603; -0.318
-1.473;  1.154; -0.947; -1.056;  1.071;  0.098;  0.405;  0.584;  0.493;  0.479; -0.995;  0.914; -0.812; -0.870;  0.878; -0.105; -0.004;  0.401;  0.722;  0.107; -0.575; -0.370
-1.493;  1.210; -0.746; -1.089;  1.142;  0.078;  0.353;  0.734;  0.463;  0.415; -0.997;  0.936; -0.679; -0.886;  0.910; -0.104; -0.064;  0.406;  0.701;  0.202; -0.539; -0.422
-1.512;  1.330; -0.577; -1.064;  1.228;  0.059;  0.238;  0.838;  0.486;  0.336; -0.998;  0.971; -0.545; -0.874;  0.942; -0.105; -0.141;  0.389;  0.649;  0.327; -0.482; -0.489
-1.567;  1.494; -0.414; -1.010;  1.363;  0.004;  0.077;  0.916;  0.532;  0.206; -1.000;  0.997; -0.402; -0.847;  0.979; -0.117; -0.217;  0.335;  0.534;  0.465; -0.425; -0.563
-1.609;  1.611; -0.240; -0.986;  1.540; -0.038; -0.041;  0.971;  0.552;  0.031; -0.999;  0.999; -0.238; -0.834;  1.000; -0.131; -0.258;  0.261;  0.390;  0.573; -0.396; -0.602
-1.600;  1.607; -0.032; -0.980;  1.627; -0.030; -0.036;  0.999;  0.557; -0.057; -1.000;  0.999; -0.032; -0.831;  0.998; -0.128; -0.277;  0.220;  0.303;  0.629; -0.360; -0.619
-1.588;  1.584;  0.185; -0.940;  1.617; -0.017; -0.013;  0.983;  0.590; -0.046; -1.000;  1.000;  0.184; -0.807;  0.999; -0.125; -0.296;  0.186;  0.235;  0.662; -0.277; -0.655
-1.581;  1.548;  0.411; -0.856;  1.596; -0.010;  0.022;  0.917;  0.656; -0.025; -1.000;  1.000;  0.399; -0.755;  1.000; -0.123; -0.311;  0.146;  0.152;  0.689; -0.176; -0.687
-1.548;  1.525;  0.620; -0.750;  1.560;  0.023;  0.046;  0.814;  0.731;  0.010; -1.000;  0.999;  0.581; -0.682;  1.000; -0.113; -0.319;  0.101;  0.074;  0.705; -0.051; -0.704
-1.463;  1.567;  0.813; -0.653;  1.523;  0.108;  0.004;  0.687;  0.794;  0.047; -0.994;  1.000;  0.726; -0.607;  0.999; -0.086; -0.316;  0.037; -0.000;  0.701;  0.110; -0.705
-1.365;  1.600;  1.003; -0.553;  1.471;  0.204; -0.029;  0.538;  0.851;  0.100; -0.979;  1.000;  0.843; -0.525;  0.995; -0.060; -0.297; -0.022; -0.064;  0.670;  0.273; -0.688
-1.267;  1.593;  1.173; -0.446;  1.354;  0.299; -0.022;  0.387;  0.902;  0.215; -0.954;  1.000;  0.922; -0.432;  0.977; -0.036; -0.277; -0.066; -0.090;  0.625;  0.428; -0.647
-1.171;  1.584;  1.327; -0.355;  1.216;  0.389; -0.013;  0.242;  0.938;  0.347; -0.921;  1.000;  0.970; -0.348;  0.938; -0.017; -0.248; -0.104; -0.105;  0.572;  0.564; -0.587
-1.094;  1.556;  1.424; -0.276;  1.054;  0.459;  0.015;  0.146;  0.962;  0.494; -0.888;  1.000;  0.989; -0.273;  0.870; -0.000; -0.227; -0.130; -0.095;  0.532;  0.664; -0.517
